id	sid	target	pos	sense	gloss	sentence	hw	lemma
find.v_85	3808	find	v	find.v.01	come upon, as if by accident; meet with	The only area in which one might find major disagreement in this matter is in regard to the alveolar distribution of the bronchial arteries .	the only area in which one might find major disagreement in this matter be in regard to the alveolar distribution of the bronchial artery	the_D only_J area_N in_R which_R one_C might_M find_V major_J disagreement_N in_R this_R matter_N be_V in_I regard_N to_N the_D alveolar_J distribution_N of_I the_D bronchial_N artery_N
find.v_86	3813	find	v	find.v.01	come upon, as if by accident; meet with	Although Miller noted in 1907 that a difference in the pleural blood supply existed between animals , nowhere in his published works is it found that he did a comparative study of the intrapulmonary features of various mammalian lungs other than in the dog and cat ( Miller , ' 13 ; ' 25 ) .	although miller note in 1907 that a difference in the pleural blood supply exist between animal nowhere in his published work be it find that he do a comparative study of the intrapulmonary feature of various mammalian lung other than in the dog and cat miller 13 25	although_I miller_N note_V in_I 1907_C that_I a_D difference_N in_I the_D pleural_J blood_N supply_N exist_V between_I animal_N nowhere_R in_I his_P published_J work_N be_V it_P find_V that_I he_P do_V a_D comparative_J study_N of_I the_D intrapulmonary_J feature_N of_I various_J mammalian_J lung_N other_J than_J in_I the_D dog_N and_C cat_N miller_N 13_C 25_C
find.v_87	3814	find	v	detect.v.01	discover or determine the existence, presence, or fact of	The meaning of this variation in distribution of the bronchial artery as found in the horse is not clear .	the meaning of this variation in distribution of the bronchial artery as find in the horse be not clear	the_D meaning_N of_R this_R variation_N in_I distribution_N of_I the_D bronchial_N artery_N as_I find_V in_I the_D horse_N be_V not_R clear_J
vessel.n_4	3815	vessel	n	vessel.n.01	a tube in which a body fluid circulates	However , this artery is known to be a nutrient vessel with a distribution primarily to the proximal airways and supportive tissues of the lung .	however this artery be know to be a nutrient vessel with a distribution primarily to the proximal airway and supportive tissue of the lung	however_R this_D artery_N be_V know_V to_T be_V a_D nutrient_J vessel_N with_I a_D distribution_N primarily_R to_T the_D proximal_J airway_N and_C supportive_J tissue_N of_I the_D lung_N
vessel.n_5	3828	vessel	n	vessel.n.01	a tube in which a body fluid circulates	It is distinctly possible , therefore , that simultaneous pressures in all three vessels would have rendered the shunts inoperable and hence , uninjectable .	it be distinctly possible therefore that simultaneous pressure in all three vessel would have render the shunt inoperable and hence uninjectable	it_P be_V distinctly_R possible_J therefore_R that_I simultaneous_J pressure_N in_R all_J three_J vessel_N would_M have_V render_V the_D shunt_N inoperable_J and_C hence_R uninjectable_J
find.v_88	3832	find	v	detect.v.01	discover or determine the existence, presence, or fact of	Verloop ( ' 48 ; ' 49 ) found these shunts in the human being but was unable to find them in rats .	verloop 48 49 find these shunt in the human being but be unable to find them in rat	verloop_N 48_C 49_C find_V these_D shunt_N in_I the_D human_N being_N but_C be_V unable_J to_T find_V them_P in_I rat_N
find.v_89	3833	find	v	detect.v.01	discover or determine the existence, presence, or fact of	Ellis , Grindlay and Edwards ( ' 52 ) also were unable to find them in rats .	ellis grindlay and edwards 52 also be unable to find them in rat	ellis_N grindlay_N and_C edwards_N 52_C also_R be_V unable_J to_T find_V them_P in_I rat_N
hand.n_20	3868	hand	n	hand.n.01	the (prehensile) extremity of the superior limb	In the lower portion of each Chart , the Skeletal Age ( Hand ) of boy 34 and girl 2 may be similarly classified .	in the low portion of each chart the skeletal age hand of boy 34 and girl 2 may be similarly classify	in_I the_D low_J portion_N of_I each_J chart_N the_D skeletal_J age_N hand_N of_I boy_N 34_C and_C girl_N 2_J may_M be_V similarly_R classify_V
hand.n_21	3873	hand	n	hand.n.01	the (prehensile) extremity of the superior limb	First , the upper portion requires series of films for every child , consisting of those from Hand , Elbow , Shoulder , Knee , and Foot .	first the upper portion require series of film for every child consist of those from hand elbow shoulder knee and foot	first_R the_D upper_J portion_N require_V series_N of_I film_N for_I every_J child_N consist_V of_V those_D from_I hand_N elbow_N shoulder_N knee_N and_C foot_N
hand.n_22	3874	hand	n	hand.n.01	the (prehensile) extremity of the superior limb	The lower portion necessitates only films of Hand .	the low portion necessitate only film of hand	the_D low_J portion_N necessitate_V only_R film_N of_I hand_N
hand.n_23	3876	hand	n	hand.n.01	the (prehensile) extremity of the superior limb	The lower portion permits comparison of maturity levels of short and round bones predominantly , since only two long bones are included in Hand and Wrist as a region .	the low portion permit comparison of maturity level of short and round bone predominantly since only two long bone be include in hand and wrist as a region	the_D low_J portion_N permit_V comparison_N of_I maturity_N level_N of_I short_N and_C round_N bone_N predominantly_R since_I only_R two_J long_N bone_N be_V include_V in_V hand_N and_C wrist_N as_I a_D region_N
hand.n_24	3878	hand	n	hand.n.01	the (prehensile) extremity of the superior limb	The lower portion utilizes the full complement of intermediate maturity indicators of each Hand center as well as their Onset and Completion .	the low portion utilize the full complement of intermediate maturity indicator of each hand center as well as their onset and completion	the_D low_J portion_N utilize_V the_D full_N complement_N of_I intermediate_J maturity_N indicator_N of_I each_J hand_N center_N as_I well_I as_I their_P onset_N and_C completion_N
hand.n_25	3881	hand	n	hand.n.01	the (prehensile) extremity of the superior limb	Onsets , Completions , and Skeletal Ages ( Hand ) of boy 34 and girl 2 may be directly compared and classified , using only those Skeletal Ages which appear immediately below the Onset Profile and the Completion Profile .	onsets completions and skeletal ages hand of boy 34 and girl 2 may be directly compare and classify use only those skeletal ages which appear immediately below the onset profile and the completion profile	onsets_N completions_N and_C skeletal_J ages_N hand_N of_I boy_N 34_C and_C girl_N 2_J may_M be_V directly_R compare_V and_C classify_V use_V only_R those_D skeletal_J ages_N which_W appear_V immediately_R below_I the_D onset_N profile_N and_C the_D completion_N profile_N
hand.n_26	3885	hand	n	hand.n.01	the (prehensile) extremity of the superior limb	Since a Skeletal Age rating can be made at any age during growth , from Elbow , Shoulder , Knee , or Foot as well as Hand , it seems to be the method of choice when one wishes to study most aspects of skeletal developmental progress during childhood .	since a skeletal age rating can be make at any age during growth from elbow shoulder knee or foot as well as hand it seem to be the method of choice when one wish to study most aspect of skeletal developmental progress during childhood	since_I a_D skeletal_J age_N rating_N can_M be_V make_V at_I any_D age_N during_I growth_N from_I elbow_N shoulder_N knee_N or_C foot_N as_I well_I as_I hand_N it_P seem_V to_T be_V the_D method_N of_N choice_N when_W one_C wish_V to_V study_V most_J aspect_N of_I skeletal_J developmental_J progress_N during_I childhood_N
interest.n_36	3925	interest	n	interest.n.01	a sense of concern with and curiosity about someone or something	It is of interest that her menarche was somewhat later than the average for the girls in this group .	it be of interest that her menarche be somewhat late than the average for the girl in this group	it_P be_V of_I interest_N that_I her_P menarche_N be_V somewhat_R late_J than_I the_D average_J for_I the_D girl_N in_R this_R group_N
find.v_90	3976	find	v	detect.v.01	discover or determine the existence, presence, or fact of	Besides those of the thiouracil and resorcinol types , certain antithyroid drugs have been found in naturally occurring foods .	besides those of the thiouracil and resorcinol type certain antithyroid drug have be find in naturally occur food	besides_I those_D of_I the_D thiouracil_N and_C resorcinol_N type_N certain_J antithyroid_J drug_N have_V be_V find_V in_I naturally_R occur_V food_N
find.v_91	3986	find	v	determine.v.01	establish after a calculation, investigation, experiment, survey, or study	In the presence of a low iodine intake , thyroglobulin labelled in vivo with * * f is found to contain more mono-iodotyrosine than normal , the amounts of di-iodotyrosine and iodothyronines being correspondingly reduced .	in the presence of a low iodine intake thyroglobulin label in vivo with f be find to contain more mono-iodotyrosine than normal the amount of di-iodotyrosine and iodothyronine be correspondingly reduce	in_I the_D presence_N of_I a_D low_J iodine_N intake_N thyroglobulin_N label_V in_R vivo_R with_I f_N be_V find_V to_T contain_V more_J mono-iodotyrosine_N than_I normal_J the_D amount_N of_I di-iodotyrosine_N and_C iodothyronine_N be_V correspondingly_R reduce_V
find.v_92	3990	find	v	detect.v.01	discover or determine the existence, presence, or fact of	The name thyroid-stimulating hormone ( TSH ) has been given to a substance found in the anterior pituitary gland of all species of animal so far tested for its presence .	the name thyroid-stimulating hormone tsh have be give to a substance find in the anterior pituitary gland of all specie of animal so far test for its presence	the_D name_N thyroid-stimulating_N hormone_N tsh_N have_V be_V give_V to_T a_D substance_N find_V in_I the_D anterior_J pituitary_N gland_N of_I all_J specie_N of_I animal_N so_R far_R test_V for_I its_P presence_N
find.v_93	4006	find	v	find.v.01	come upon, as if by accident; meet with	First , is the circulating form of the hormone the same as that found in the gland where it is synthesised and stored ?	first be the circulating form of the hormone the same as that find in the gland where it be synthesise and store	first_R be_V the_D circulating_J form_N of_I the_D hormone_N the_D same_J as_I that_W find_V in_I the_D gland_N where_W it_P be_V synthesise_V and_C store_V
hand.n_27	4039	hand	n	hand.n.01	the (prehensile) extremity of the superior limb	At this time a detailed neuromuscular examination revealed diffuse muscle atrophy that was moderate in the hands and feet , but more marked in the shoulders , hips , and pelvic girdle , with hypoactive deep tendon reflexes .	at this time a detailed neuromuscular examination reveal diffuse muscle atrophy that be moderate in the hand and foot but more marked in the shoulder hip and pelvic girdle with hypoactive deep tendon reflex	at_I this_D time_N a_D detailed_J neuromuscular_J examination_N reveal_V diffuse_J muscle_N atrophy_N that_W be_V moderate_J in_I the_D hand_N and_C foot_N but_C more_R marked_J in_I the_D shoulder_N hip_N and_C pelvic_N girdle_N with_I hypoactive_J deep_J tendon_N reflex_N
find.v_94	4040	find	v	detect.v.01	discover or determine the existence, presence, or fact of	No fasciculations or sensory defects were found .	no fasciculation or sensory defect be find	no_D fasciculation_N or_C sensory_J defect_N be_V find_V
find.v_95	4056	find	v	detect.v.01	discover or determine the existence, presence, or fact of	Extensive osteoporosis with partial collapse of D8 was found .	extensive osteoporosis with partial collapse of d8 be find	extensive_J osteoporosis_N with_I partial_J collapse_N of_I d8_C be_V find_V
find.v_96	4079	find	v	detect.v.01	discover or determine the existence, presence, or fact of	Some of the sinusoids contained large numbers of nucleated red cells , and cells of the granulocytic series were found in small numbers .	some of the sinusoid contain large number of nucleate red cell and cell of the granulocytic series be find in small number	some_J of_I the_D sinusoid_N contain_V large_N number_N of_I nucleate_V red_N cell_N and_C cell_N of_I the_D granulocytic_J series_N be_V find_V in_I small_J number_N
vessel.n_6	4088	vessel	n	vessel.n.01	a tube in which a body fluid circulates	A careful search failed to show occlusion of any of the mesenteric vessels .	a careful search fail to show occlusion of any of the mesenteric vessel	a_D careful_J search_N fail_V to_T show_V occlusion_N of_I any_D of_I the_D mesenteric_J vessel_N
vessel.n_7	4092	vessel	n	vessel.n.01	a tube in which a body fluid circulates	Some of the small vessels were filled with fibrin thrombi , and there was extensive interstitial hemorrhage .	some of the small vessel be fill with fibrin thrombus and there be extensive interstitial hemorrhage	some_D of_I the_D small_J vessel_N be_V fill_V with_I fibrin_N thrombus_N and_C there_E be_V extensive_J interstitial_J hemorrhage_N
plant.n_28	4133	plant	n	plant.n.02	(botany) a living organism lacking the power of locomotion	Root and stem tumors from sweet clover plants infected with WTV were quick-frozen in liquid nitrogen , embedded in ice , and cut at 3 - 6 | m in a cryostat maintained at - 16 ` to - 20 ` .	root and stem tumor from sweet clover plant infected with wtv be quick-frozen in liquid nitrogen embed in ice and cut at 3 6 | m in a cryostat maintain at 16 to 20	root_N and_C stem_N tumor_N from_I sweet_N clover_N plant_N infected_J with_I wtv_N be_V quick-frozen_J in_I liquid_N nitrogen_N embed_V in_I ice_N and_C cut_V at_I 3_J 6_J |_N m_N in_I a_D cryostat_N maintain_V at_I 16_J to_T 20_J
find.v_97	4135	find	v	determine.v.01	establish after a calculation, investigation, experiment, survey, or study	The latter adhesive was found to be much more satisfactory .	the latter adhesive be find to be much more satisfactory	the_D latter_J adhesive_N be_V find_V to_T be_V much_R more_R satisfactory_J
plant.n_29	4203	plant	n	plant.n.02	(botany) a living organism lacking the power of locomotion	The concentration and apparent localization of the WTV antigen in pseudophloem tissue of the tumor may indicate that the virus preferentially multiplies in the phloem and may need to be directly placed in this tissue in order to infect plants .	the concentration and apparent localization of the wtv antigen in pseudophloem tissue of the tumor may indicate that the virus preferentially multiply in the phloem and may need to be directly place in this tissue in order to infect plant	the_D concentration_N and_C apparent_J localization_N of_I the_D wtv_N antigen_N in_I pseudophloem_N tissue_N of_I the_D tumor_N may_M indicate_V that_I the_D virus_N preferentially_R multiply_V in_I the_D phloem_N and_C may_M need_V to_V be_V directly_R place_V in_R this_R tissue_N in_R order_R to_R infect_V plant_N
find.v_98	4241	find	v	discover.v.03	make a discovery, make a new finding	Some investigators have found a parallelism between remissions and return of the sympathetic reactivity of the hypothalamus to the normal level as indicated by the Mecholyl test and , conversely , between clinical impairment and increasing deviation of this test from the norm .	some investigator have find a parallelism between remission and return of the sympathetic reactivity of the hypothalamus to the normal level as indicate by the mecholyl test and conversely between clinical impairment and increasing deviation of this test from the norm	some_D investigator_N have_V find_V a_D parallelism_N between_I remission_N and_C return_V of_I the_D sympathetic_J reactivity_N of_I the_D hypothalamus_N to_T the_D normal_J level_N as_I indicate_V by_I the_D mecholyl_N test_N and_C conversely_R between_I clinical_J impairment_N and_C increasing_J deviation_N of_R this_R test_N from_I the_D norm_N
find.v_99	4271	find	v	discover.v.03	make a discovery, make a new finding	He took advantage of the antagonism between aggressive assertiveness and anxiety and found a relatively rapid disappearance of anxiety when the former attitude was established .	he take advantage of the antagonism between aggressive assertiveness and anxiety and find a relatively rapid disappearance of anxiety when the former attitude be establish	he_P take_V advantage_N of_V the_D antagonism_N between_I aggressive_J assertiveness_N and_C anxiety_N and_C find_V a_D relatively_R rapid_J disappearance_N of_I anxiety_N when_W the_D former_J attitude_N be_V establish_V
find.v_100	4296	find	v	find.v.05	come to believe on the basis of emotion, intuitions, or indefinite grounds	The reader will find it helpful to think of the special case when the primes are of degree 1 , and even more particularly , to think of the proof of Theorem 10 , a special case of this theorem .	the reader will find it helpful to think of the special case when the prime be of degree 1 and even more particularly to think of the proof of theorem 10 a special case of this theorem	the_D reader_N will_M find_V it_P helpful_J to_T think_V of_V the_D special_J case_N when_W the_D prime_N be_V of_I degree_N 1_N and_C even_R more_J particularly_R to_T think_V of_V the_D proof_N of_I theorem_N 10_C a_D special_J case_N of_R this_R theorem_N
find.v_101	4304	find	v	line_up.v.02	get something or somebody for a specific purpose	We shall find a polynomial * * f such that * * f is the identity on * * f and is zero on the other * * f , and so that * * f , etc. .	we shall find a polynomial f such that f be the identity on f and be zero on the other f and so that f etc.	we_P shall_V find_V a_D polynomial_N f_N such_J that_J f_N be_V the_D identity_N on_I f_N and_C be_V zero_N on_I the_D other_J f_N and_C so_R that_R f_N etc._F
find.v_102	4359	find	v	line_up.v.02	get something or somebody for a specific purpose	For vector spaces over non algebraically closed fields , we still need to find some substitute for characteristic values and vectors .	for vector space over non algebraically closed field we still need to find some substitute for characteristic value and vector	for_I vector_N space_N over_I non_J algebraically_R closed_J field_N we_P still_R need_V to_V find_V some_J substitute_N for_V characteristic_J value_N and_C vector_N
space.n_18	4398	space	n	space.n.03	an area reserved for some particular purpose	In Chapters 3 and 4 we answered questions like those in the examples , usually by counting points in a sample space .	in chapters 3 and 4 we answer question like those in the example usually by count point in a sample space	in_I chapters_N 3_J and_C 4_J we_P answer_V question_N like_J those_D in_I the_D example_N usually_R by_R count_V point_N in_I a_D sample_N space_N
interest.n_37	4415	interest	n	interest.n.01	a sense of concern with and curiosity about someone or something	Note that there are 3 trials of interest .	note that there be 3 trial of interest	note_V that_I there_E be_V 3_J trial_N of_I interest_N
hand.n_28	4465	hand	n	hand.n.06	the cards held in a card game by a given player at any given time	( For instance , see Example 2 of Section 5 - 5 , on red cards in hands of 5 . )	for instance see example 2 of section 5 5 on red card in hand of 5	for_R instance_R see_R example_N 2_C of_I section_N 5_C 5_C on_I red_J card_N in_I hand_N of_I 5_C
find.v_103	4470	find	v	discover.v.03	make a discovery, make a new finding	We shall find a formula for the probability of exactly x successes for given values of p and n .	we shall find a formula for the probability of exactly x success for given value of p and n	we_P shall_M find_V a_D formula_N for_I the_D probability_N of_I exactly_R x_N success_N for_I given_J value_N of_I p_N and_C n_N
find.v_104	4500	find	v	determine.v.01	establish after a calculation, investigation, experiment, survey, or study	If the vertex is at **f , and if the interior of C is on the left as one moves in the direction of increasing t , then every such corner can be found from the curve obtained by rotating C clockwise through 90 ` about the vertex .	if the vertex be at **f and if the interior of c be on the left as one move in the direction of increasing t then every such corner can be find from the curve obtain by rotate c clockwise through 90 about the vertex	if_I the_D vertex_N be_V at_I **f_N and_C if_I the_D interior_N of_I c_N be_V on_R the_R left_J as_I one_C move_V in_V the_D direction_N of_I increasing_J t_N then_R every_J such_J corner_N can_M be_V find_V from_I the_D curve_N obtain_V by_I rotate_V c_N clockwise_J through_I 90_C about_I the_D vertex_N
find.v_105	4524	find	v	determine.v.01	establish after a calculation, investigation, experiment, survey, or study	Furthermore , one can find a neighborhood of Q in which the difference function is monotone , for since it is analytic it can have only a finite number of extrema in any interval .	furthermore one can find a neighborhood of q in which the difference function be monotone for since it be analytic it can have only a finite number of extremum in any interval	furthermore_R one_C can_M find_V a_D neighborhood_N of_I q_N in_R which_R the_D difference_N function_N be_V monotone_J for_I since_I it_P be_V analytic_J it_P can_M have_V only_R a_D finite_J number_N of_I extremum_N in_I any_D interval_N
find.v_106	4525	find	v	determine.v.01	establish after a calculation, investigation, experiment, survey, or study	Now , to find **f , one needs the intersection of C and **f near Q .	now to find **f one need the intersection of c and **f near q	now_R to_T find_V **f_N one_C need_V the_D intersection_N of_I c_N and_C **f_N near_J q_N
interest.n_38	4579	interest	n	interest.n.01	a sense of concern with and curiosity about someone or something	Feelings of a community of interest will have to be recreated - in some of the new nations , indeed , they must be built for the first time - on a new basis which looks toward the future and does not rely only on shared memories of the past .	feelings of a community of interest will have to be recreate in some of the new nation indeed they must be build for the first time on a new basis which look toward the future and do not rely only on shared memory of the past	feelings_N of_I a_D community_N of_I interest_N will_M have_V to_V be_V recreate_V in_I some_D of_I the_D new_J nation_N indeed_R they_P must_M be_V build_V for_R the_R first_R time_R on_I a_D new_J basis_N which_W look_V toward_R the_R future_N and_C do_V not_R rely_V only_R on_I shared_J memory_N of_I the_D past_N
capital.n_4	4588	capital	n	capital.n.01	assets available for use in the production of further assets	When we look at countries like Iran , Iraq , Pakistan , and Burma , where substantial progress has been made in creating a minimum supply of modern men and of social overhead capital , and where institutions of centralized government exist , we find a second category of countries with a different set of problems and hence different priorities for policy .	when we look at country like iran iraq pakistan and burma where substantial progress have be make in create a minimum supply of modern men and of social overhead capital and where institution of centralized government exist we find a second category of country with a different set of problem and hence different priority for policy	when_W we_P look_V at_V country_N like_I iran_N iraq_N pakistan_N and_C burma_N where_W substantial_J progress_N have_V be_V make_V in_I create_V a_D minimum_J supply_N of_I modern_N men_N and_C of_I social_J overhead_N capital_N and_C where_W institution_N of_I centralized_J government_N exist_V we_P find_V a_D second_J category_N of_I country_N with_I a_D different_J set_N of_I problem_N and_C hence_R different_J priority_N for_I policy_N
find.v_107	4588	find	v	find.v.01	come upon, as if by accident; meet with	When we look at countries like Iran , Iraq , Pakistan , and Burma , where substantial progress has been made in creating a minimum supply of modern men and of social overhead capital , and where institutions of centralized government exist , we find a second category of countries with a different set of problems and hence different priorities for policy .	when we look at country like iran iraq pakistan and burma where substantial progress have be make in create a minimum supply of modern men and of social overhead capital and where institution of centralized government exist we find a second category of country with a different set of problem and hence different priority for policy	when_W we_P look_V at_V country_N like_I iran_N iraq_N pakistan_N and_C burma_N where_W substantial_J progress_N have_V be_V make_V in_I create_V a_D minimum_J supply_N of_I modern_N men_N and_C of_I social_J overhead_N capital_N and_C where_W institution_N of_I centralized_J government_N exist_V we_P find_V a_D second_J category_N of_I country_N with_I a_D different_J set_N of_I problem_N and_C hence_R different_J priority_N for_I policy_N
capital.n_5	4614	capital	n	capital.n.01	assets available for use in the production of further assets	Lastly , governmental and private planners will at this stage begin to see large capital requirements looming ahead .	lastly governmental and private planner will at this stage begin to see large capital requirement loom ahead	lastly_R governmental_J and_C private_J planner_N will_M at_I this_D stage_N begin_V to_T see_V large_J capital_N requirement_N loom_V ahead_R
capital.n_6	4615	capital	n	capital.n.01	assets available for use in the production of further assets	By holding out prospects for external capital assistance , the United States can provide strong incentives to prepare for the concerted economic drive necessary to achieve self-sustaining growth .	by hold out prospect for external capital assistance the united states can provide strong incentive to prepare for the concerted economic drive necessary to achieve self-sustaining growth	by_I hold_V out_V prospect_N for_I external_J capital_N assistance_N the_D united_N states_N can_M provide_V strong_J incentive_N to_T prepare_V for_V the_D concerted_J economic_J drive_N necessary_J to_T achieve_V self-sustaining_J growth_N
capital.n_7	4617	capital	n	capital.n.01	assets available for use in the production of further assets	They must continue to satisfy basic capital needs ; and there persists the dual problem of maintaining operational unity around a national program of modernization while simultaneously decentralizing participation in the program to wider and wider groups .	they must continue to satisfy basic capital need and there persist the dual problem of maintain operational unity around a national program of modernization while simultaneously decentralize participation in the program to wide and wide group	they_P must_M continue_V to_T satisfy_V basic_J capital_N need_N and_C there_E persist_V the_D dual_J problem_N of_I maintain_V operational_J unity_N around_I a_D national_J program_N of_I modernization_N while_I simultaneously_R decentralize_V participation_N in_I the_D program_N to_T wide_J and_C wide_J group_N
capital.n_8	4618	capital	n	capital.n.01	assets available for use in the production of further assets	But these countries have made big strides toward developing the necessary human and social overhead capital ; they have established reasonably stable and effective governmental institutions at national and local levels ; and they have begun to develop a capacity to deal realistically and simultaneously with all the major sectors of their economies .	but these country have make big stride toward develop the necessary human and social overhead capital they have establish reasonably stable and effective governmental institution at national and local level and they have begin to develop a capacity to deal realistically and simultaneously with all the major sector of their economy	but_C these_D country_N have_V make_V big_J stride_N toward_I develop_V the_D necessary_J human_N and_C social_J overhead_N capital_N they_P have_V establish_V reasonably_R stable_J and_C effective_J governmental_J institution_N at_I national_J and_C local_J level_N and_C they_P have_V begin_V to_T develop_V a_D capacity_N to_T deal_V realistically_R and_C simultaneously_R with_I all_D the_D major_J sector_N of_I their_P economy_N
capital.n_9	4622	capital	n	capital.n.01	assets available for use in the production of further assets	They must in their planning be able to count on at least tentative commitments of foreign capital assistance over periods of several years .	they must in their planning be able to count on at least tentative commitment of foreign capital assistance over period of several year	they_P must_M in_I their_P planning_N be_V able_J to_V count_V on_V at_R least_R tentative_J commitment_N of_I foreign_J capital_N assistance_N over_I period_N of_I several_J year_N
capital.n_10	4623	capital	n	capital.n.01	assets available for use in the production of further assets	Capital imports drawn from a number of sources must be employed and combined skillfully enough to permit domestic investment programming to go forward .	capital import draw from a number of source must be employ and combine skillfully enough to permit domestic investment programming to go forward	capital_N import_N draw_V from_V a_J number_N of_J source_N must_M be_V employ_V and_C combine_V skillfully_R enough_R to_T permit_V domestic_J investment_N programming_N to_T go_V forward_V
capital.n_11	4624	capital	n	capital.n.01	assets available for use in the production of further assets	Capital flows must be coordinated with national needs and planning .	capital flow must be coordinate with national need and planning	capital_N flow_N must_M be_V coordinate_V with_I national_J need_N and_C planning_N
interest.n_39	4635	interest	n	sake.n.01	a reason for wanting something done	Particularly when based upon a single dominant party , governments may respond to such a situation by claiming a monopoly of understanding about the national interest .	particularly when base upon a single dominant party government may respond to such a situation by claim a monopoly of understanding about the national interest	particularly_R when_W base_V upon_I a_D single_J dominant_J party_N government_N may_M respond_V to_T such_J a_D situation_N by_I claim_V a_D monopoly_N of_I understanding_N about_I the_D national_J interest_N
interest.n_40	4739	interest	n	interest.n.06	(usually plural) a social group whose members control some field of activity and who have common aims	All political interests supported electoral planning , although there are some signs that the inherent uncertainties of a popular judgment led to some procrastination .	all political interest support electoral planning although there be some sign that the inherent uncertainty of a popular judgment lead to some procrastination	all_D political_J interest_N support_V electoral_J planning_N although_I there_E be_V some_D sign_N that_I the_D inherent_J uncertainty_N of_I a_D popular_J judgment_N lead_V to_V some_D procrastination_N
interest.n_41	4774	interest	n	sake.n.01	a reason for wanting something done	The tendency to treat elections as an instrument of self-interest rather than an instrument of national interest had two important effects on electoral planning in Morocco .	the tendency to treat election as an instrument of self-interest rather than an instrument of national interest have two important effect on electoral planning in morocco	the_D tendency_N to_T treat_V election_N as_I an_D instrument_N of_I self-interest_N rather_R than_R an_D instrument_N of_I national_J interest_N have_V two_J important_J effect_N on_I electoral_J planning_N in_I morocco_N
find.v_108	4783	find	v	detect.v.01	discover or determine the existence, presence, or fact of	Interesting evidence can be found in the results of the Chamber of Commerce elections , which took place three weeks before national elections .	interesting evidence can be find in the result of the chamber of commerce election which take place three week before national election	interesting_J evidence_N can_M be_V find_V in_I the_D result_N of_I the_D chamber_N of_N commerce_N election_N which_W take_V place_V three_J week_N before_I national_J election_N
interest.n_42	4787	interest	n	sake.n.01	a reason for wanting something done	The value of the elections was lost , both as an experiment in increased political participation and as a reliable indicator of commercial interest , as shown in Table /1 , .	the value of the election be lost both as an experiment in increased political participation and as a reliable indicator of commercial interest as show in table /1	the_D value_N of_I the_D election_N be_V lost_J both_D as_I an_D experiment_N in_I increased_J political_J participation_N and_C as_I a_D reliable_J indicator_N of_I commercial_J interest_N as_I show_V in_I table_N /1_C
find.v_109	4790	find	v	discover.v.04	make a discovery	The Istiqlal found that the spontaneous solidarity of the independence struggle was not easily transposed to the more concrete , precise problems of internal politics .	the istiqlal find that the spontaneous solidarity of the independence struggle be not easily transpose to the more concrete precise problem of internal politics	the_D istiqlal_N find_V that_I the_D spontaneous_J solidarity_N of_I the_D independence_N struggle_N be_V not_R easily_R transpose_V to_T the_D more_J concrete_J precise_J problem_N of_I internal_J politics_N
find.v_110	4818	find	v	line_up.v.02	get something or somebody for a specific purpose	To find a place for them in their theory of knowledge would require them to revise the theory radically , and yet that theory was what they regarded as their most important discovery .	to find a place for them in their theory of knowledge would require them to revise the theory radically and yet that theory be what they regard as their most important discovery	to_T find_V a_D place_N for_I them_P in_I their_P theory_N of_I knowledge_N would_M require_V them_P to_T revise_V the_D theory_N radically_R and_C yet_R that_I theory_N be_V what_W they_P regard_V as_V their_P most_J important_J discovery_N
find.v_111	4860	find	v	discover.v.04	make a discovery	If we did not mean to say this , why should we be so relieved on finding that the suffering had not occurred ?	if we do not mean to say this why should we be so relieve on find that the suffering have not occur	if_I we_P do_V not_R mean_V to_T say_V this_D why_W should_M we_P be_V so_R relieve_V on_I find_V that_I the_D suffering_N have_V not_R occur_V
grasp.v_3	4909	grasp	v	grok.v.01	get the meaning of something	The necessary inference , as the authors themselves interpret it , would seem to be this : `` ( 1 ) Spatial qualities are not among those grasped by the sense of touch , as such .	the necessary inference as the author themselves interpret it would seem to be this 1 spatial quality be not among those grasp by the sense of touch as such	the_D necessary_J inference_N as_I the_D author_N themselves_P interpret_V it_P would_M seem_V to_T be_V this_D 1_C spatial_J quality_N be_V not_R among_I those_D grasp_V by_I the_D sense_N of_N touch_N as_R such_R
space.n_19	4912	space	n	space.n.01	the unlimited expanse in which everything is located	The underlying assumption , of course , is that only sight and touch enable us , in any precise and fully dependable way , to locate objects in space beyond us , the other senses being decidedly inferior , if not totally inadequate , in this regard .	the underlying assumption of course be that only sight and touch enable us in any precise and fully dependable way to locate object in space beyond us the other sens be decidedly inferior if not totally inadequate in this regard	the_D underlying_J assumption_N of_R course_R be_V that_I only_R sight_N and_C touch_N enable_V us_P in_I any_D precise_J and_C fully_R dependable_J way_N to_T locate_V object_N in_I space_N beyond_I us_P the_D other_J sens_N be_V decidedly_R inferior_J if_R not_R totally_R inadequate_J in_R this_R regard_N
